BLEZ_01_countdown-5 , BLEZ , Success , yf4418 , stdout are the same with retcode=6
LUI-sra01 , LUI , Success , yf4418 , stdout are the same with retcode=110
LUI-sra01 , LUI , Fail , yf4418 , Expected retcode 110 but got retcode 235
LW_01_stdin , LW , Success , yf4418 , stdout are the same with retcode=88
LW_02_sign0 , LW , Success , yf4418 , stdout are the same with retcode=0
LWL_01_sra24_87 , LWL , Success , yf4418 , stdout are the same with retcode=32
LWL_02_lsb_21 , LWL , Success , yf4418 , stdout are the same with retcode=16
LB_01_stdin , LB , Success , yf4418 , stdout are the same with retcode=88
BLEZ_01_countdown-5 , BLEZ , Success , yf4418 , stdout are the same with retcode=6
LUI-sra01 , LUI , Success , yf4418 , stdout are the same with retcode=110
LUI-sra01 , LUI , Fail , yf4418 , Expected retcode 110 but got retcode 235
ADD_01 , ADD , Fail , yf4418 , stdout different or got incorrect retcode 235
BLEZ_01_countdown-5 , BLEZ , Success , yf4418 , stdout are the same with retcode=6
ADD_01 , ADD , Fail , yf4418 , stdout different or got incorrect retcode 235
BLEZ_01_countdown-5 , BLEZ , Success , yf4418 , stdout are the same with retcode=6
LUI-sra01 , LUI , Success , yf4418 , stdout are the same with retcode=110
LUI-sra01 , LUI , Fail , yf4418 , Expected retcode 110 but got retcode 235
LW_01_stdin , LW , Success , yf4418 , stdout are the same with retcode=88
LW_02_sign0 , LW , Success , yf4418 , stdout are the same with retcode=0
LWL_01_sra24_87 , LWL , Success , yf4418 , stdout are the same with retcode=32
LWL_02_lsb_21 , LWL , Success , yf4418 , stdout are the same with retcode=16
LB_01_stdin , LB , Success , yf4418 , stdout are the same with retcode=88
ADD_01 , ADD , Fail , yf4418 , stdout different or got incorrect retcode 253
ADD_01 , ADD , Fail , yf4418 , stdout different or got incorrect retcode 251
BLEZ_01_countdown-5 , BLEZ , Success , yf4418 , stdout are the same with retcode=6
LUI-sra01 , LUI , Success , yf4418 , stdout are the same with retcode=110
ADD_01 , ADD , Fail , yf4418 , stdout different or got incorrect retcode 251 Expected: 256-5
BLEZ_01_countdown-5 , BLEZ , Success , yf4418 , stdout are the same with retcode=6
LUI-sra01 , LUI , Success , yf4418 , stdout are the same with retcode=110
ANDI_02 , ANDI , Fail , yf4418 , stdout different or got incorrect retcode 254 Expected: 255
ANDI_01 , ANDI , Success , yf4418 , stdout are the same with retcode=0
AND_03 , AND , Success , yf4418 , stdout are the same with retcode=0
AND_02 , AND , Fail , yf4418 , stdout different or got incorrect retcode 0 Expected: 255
AND_01 , AND , Success , yf4418 , stdout are the same with retcode=255
ADDU_01 , ADDU , Fail , yf4418 , stdout different or got incorrect retcode 235 Expected: 127
ADDIU_01 , ADDIU , Fail , yf4418 , stdout different or got incorrect retcode 246 Expected: 127
ADDI_02_ov , ADDI , Success , yf4418 , stdout are the same with retcode=246
ADDI_01 , ADDI , Success , yf4418 , stdout are the same with retcode=128
ANDI_02 , ANDI , Fail , yf4418 , stdout different or got incorrect retcode 254 Expected: 255
ANDI_01 , ANDI , Success , yf4418 , stdout are the same with retcode=0
AND_03 , AND , Success , yf4418 , stdout are the same with retcode=0
AND_02 , AND , Fail , yf4418 , stdout different or got incorrect retcode 0 Expected: 255
AND_01 , AND , Success , yf4418 , stdout are the same with retcode=255
ADDU_01 , ADDU , Fail , yf4418 , stdout different or got incorrect retcode 235 Expected: 127
ADDIU_01 , ADDIU , Fail , yf4418 , stdout different or got incorrect retcode 246 Expected: 127
ADDI_02_ov , ADDI , Success , yf4418 , stdout are the same with retcode=246
ADDI_01 , ADDI , Success , yf4418 , stdout are the same with retcode=128
ADD_03_ov , ADD , Success , yf4418 , stdout are the same with retcode=246
ADD_02_ov , ADD , Success , yf4418 , stdout are the same with retcode=128
ADD_01 , ADD , Success , yf4418 , stdout are the same with retcode=251
BLEZ_01_countdown-5 , BLEZ , Success , yf4418 , stdout are the same with retcode=6
